cohort,agent,t_offset_s
active,1,45481.157
active,5,45551.056
active,9,45612.213
active,4,45618.721
active,3,45720.91
active,4,45791.265
active,5,45791.271
active,0,45840.615
active,2,45850.891
active,5,45851.247
active,0,45901.123
active,6,45907.706
active,2,45917.412
active,4,46150.969
active,5,46151.281
active,1,46200.648
active,3,46203.481
active,6,46205.02
active,2,46214.372
active,0,46260.914
active,5,46271.144
active,0,46320.977
active,0,46380.684
active,2,46390.961
active,0,46440.81
active,0,46560.961
active,2,46570.772
active,4,46690.707
active,3,46861.085
active,5,46930.65
active,4,46931.424
active,4,47051.24
active,6,47106.538
active,0,47160.661
active,3,47161.035
active,5,47230.885
active,5,47290.837
active,2,47291.055
active,4,47351.353
active,1,47400.669
active,3,47404.069
active,9,47414.923
active,4,47420.36
active,3,47461.139
active,0,47521.031
active,2,47590.518
active,1,47641.04
active,3,47641.112
active,0,47700.583
active,1,47704.052
active,9,47717.969
active,0,47760.492
active,1,47760.991
active,5,47771.216
active,4,47771.217
active,1,47821.015
active,2,47830.923
active,0,47941.148
active,0,48000.594
active,1,48001.189
active,3,48004.19
active,7,48015.081
active,2,48071.268
active,4,48071.439
active,0,48120.939
active,2,48131.12
active,3,48240.983
active,4,48251.414
active,4,48320.608
active,3,48361.165
active,4,48371.486
active,2,48371.498
active,1,48420.614
active,4,48551.292
active,8,48624.987
active,2,48625.289
active,4,48638.009
active,1,48660.86
active,3,48663.789
active,2,48674.192
active,4,48690.013
active,2,48731.475
active,5,48791.419
active,4,48805.638
active,0,48840.943
active,4,48864.901
active,5,48919.879
active,9,48960.231
active,0,48967.605
active,4,49044.238
active,2,49091.383
active,0,49140.614
active,3,49208.569
active,7,49221.876
active,3,49381.347
active,3,49514.763
active,2,49527.071
active,7,49527.885
active,9,49530.968
active,2,49574.677
active,4,49637.559
active,0,49740.71
active,1,49740.802
active,4,49877.552
active,4,49999.019
active,0,50100.989
active,5,50114.051
active,8,50121.745
active,7,50124.358
active,4,50132.409
active,2,50174.062
active,1,50340.82
active,3,50341.323
active,4,50357.792
active,7,50451.344
active,8,50455.784
active,9,50471.603
active,1,50490.749
active,5,50531.498
active,4,50658.22
active,0,50701.378
active,9,50721.43
active,1,50760.807
active,2,50774.573
active,3,50821.05
active,0,50941.008
active,5,50950.89
active,2,50954.297
active,4,50955.39
active,1,51004.774
active,7,51024.359
active,0,51120.73
active,1,51121.341
active,4,51137.854
active,2,51254.073
active,4,51255.079
active,0,51300.705
active,3,51314.871
active,4,51338.33
active,2,51434.559
active,2,51493.481
active,0,51541.135
active,2,51553.876
active,0,51600.844
active,2,51622.132
active,1,51660.787
active,4,51734.84
active,1,51780.551
active,9,51920.062
active,3,51961.254
active,5,52091.155
active,4,52154.701
active,2,52228.91
active,5,52271.333
active,3,52320.999
active,1,52380.67
active,3,52380.99
active,1,52440.563
active,0,52440.799
active,2,52453.433
active,8,52519.047
active,2,52522.171
active,7,52522.851
active,0,52620.873
active,3,52621.083
active,5,52631.406
active,1,52680.693
active,0,52681.058
active,5,52750.996
active,5,52814.427
active,0,52860.885
active,3,52921.256
active,5,52931.18
active,3,52981.265
active,0,53040.772
active,3,53116.151
active,8,53123.591
active,9,53129.327
active,1,53161.037
active,5,53231.302
active,2,53234.083
active,2,53293.851
active,4,53294.892
active,3,53409.07
active,5,53413.86
active,8,53415.38
active,2,53421.412
active,4,53426.241
active,4,53474.415
active,3,53521.314
active,4,53534.877
active,5,53651.217
active,2,53653.443
active,0,53700.573
active,6,53715.169
active,9,53720.946
active,1,53941.416
active,1,54075.139
active,5,54130.606
active,4,54134.384
active,0,54241.182
active,4,54255.081
active,1,54304.628
active,4,54329.349
active,0,54361.078
active,3,54421.164
active,1,54541.137
active,0,54600.945
active,1,54604.729
active,1,54661.101
active,4,54735.025
active,5,54790.798
active,5,54850.55
active,0,54900.604
active,6,54918.651
active,1,54960.96
active,3,54964.423
active,5,54970.725
active,4,55154.268
active,6,55212.735
active,5,55270.679
active,0,55320.919
active,2,55334.388
active,0,55380.607
active,3,55381.193
active,4,55394.922
active,4,55455.167
active,8,55515.71
active,0,55621.112
active,5,55691.103
active,4,55694.363
active,1,55808.634
active,6,55822.446
active,7,55831.979
active,5,55871.234
active,3,55921.155
active,2,55934.061
active,3,55981.043
active,4,55995.143
active,3,56041.277
active,1,56105.123
active,6,56115.317
active,0,56160.792
active,4,56174.696
active,3,56221.285
active,4,56235.426
active,5,56291.023
active,4,56354.517
active,3,56411.374
active,6,56414.98
active,2,56422.499
active,3,56461.202
active,5,56470.723
active,1,56520.989
active,3,56581.114
active,2,56594.425
active,1,56640.76
active,4,56654.523
active,4,56737.651
active,2,56953.813
active,0,57061.071
active,1,57120.975
active,2,57133.845
active,1,57240.823
active,0,57241.111
active,5,57250.481
active,2,57253.855
active,3,57308.821
